"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1983865";"RISARESTAT";"CT-112|RISARESTAT|RISRESTAT";"Small molecule";"-1.0";"323.41";"3";"11";"3.68";"64.63";"5";"1";"0";"8";"N";"0.74";"6.26";"None";"3.47";"2.36";"1";"MOL";"0";"22";"5";"1";"0";"323.1191";"-0.23";"ACID";"C16H21NO4S";"CCCCCOc1ccc(C2SC(=O)NC2=O)cc1OCC";"CRPGRUONUFDYBG-UHFFFAOYSA-N"
"CHEMBL430554";"LIBENZAPRIL";"ABUTAPRIL|CGS 16617|CGS-16617|LIBENZAPRIL|Libenzapril";"Small molecule";"-1.0";"363.41";"3";"4";"0.59";"132.96";"5";"4";"0";"9";"N";"0.47";"3.01";"10.21";"-4.04";"-4.13";"1";"MOL";"0";"26";"8";"5";"0";"363.1794";"-0.02";"ZWITTERION";"C18H25N3O5";"NCCCC[C@H](N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O)C(=O)O";"AXTCRUUITQKBAV-KBPBESRZSA-N"
"CHEMBL2107344";"GOXALAPLADIB";"GOXALAPLADIB";"Small molecule";"-1.0";"718.77";"";"";"7.29";"67.67";"6";"0";"2";"12";"N";"0.13";"None";"8.40";"7.10";"6.06";"5";"MOL";"0";"52";"7";"0";"2";"718.2942";"-1.40";"NEUTRAL";"C40H39F5N4O3";"COCCN1CCC(N(Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)C(=O)Cn2c(CCc3cccc(F)c3F)cc(=O)c3cccnc32)CC1";"OBJKLVFDRLAGJI-UHFFFAOYSA-N"
"CHEMBL2105674";"DILMAPIMOD TOSYLATE";"DILMAPIMOD TOSILATE|DILMAPIMOD TOSYLATE|SB-681323-T";"Small molecule";"-1.0";"628.63";"";"";"2.94";"100.27";"7";"3";"0";"6";"N";"0.41";"13.38";"1.96";"3.60";"3.60";"4";"MOL";"0";"33";"7";"3";"0";"456.1409";"-0.81";"NEUTRAL";"C30H27F3N4O6S";"Cc1cc(F)ccc1-c1nc(NC(CO)CO)nc2c1ccc(=O)n2-c1c(F)cccc1F.Cc1ccc(S(=O)(=O)O)cc1";"ONQKJJNSLLVYHF-UHFFFAOYSA-N"
"CHEMBL3707221";"VOLIXIBAT POTASSIUM";"LUM-002|LUM002|SAR-548304|VOLIXIBAT POTASSIUM";"Small molecule";"-1.0";"844.06";"";"";"3.59";"221.26";"12";"6";"3";"14";"N";"0.13";"-1.89";"2.23";"2.88";"1.55";"3";"MOL";"0";"55";"15";"6";"3";"805.2914";"0.19";"ACID";"C38H50KN3O12S2";"CCCC[C@]1(CC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2cccc(NC(=O)N[C@@H]3O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@H](OCc4ccccc4)[C@H]3O)c2)[C@H]1O.[K+]";"CJMKTEIIPMBTJB-DXFHJFHKSA-M"
"CHEMBL3989930";"OLMUTINIB HYDROCHLORIDE";"BI1482694CL2|OLMUTINIB DIHYDROCHLORIDE|OLMUTINIB HYDROCHLORIDE";"Small molecule";"-1.0";"559.52";"";"";"5.10";"82.62";"8";"2";"1";"7";"N";"0.35";"13.85";"7.96";"5.47";"4.81";"4";"MOL";"0";"35";"8";"2";"1";"486.1838";"-1.77";"NEUTRAL";"C26H28Cl2N6O2S";"C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1.Cl.Cl";"KIHHNWDWKMJZHH-UHFFFAOYSA-N"
"CHEMBL2219410";"RECILISIB SODIUM";"Ex-RAD|ON 01210. Na|ON-01210.NA|RECILISIB SODIUM";"Small molecule";"-1.0";"358.78";"2";"3";"3.62";"71.44";"3";"1";"0";"5";"N";"0.90";"4.08";"None";"3.17";"0.06";"2";"MOL";"0";"22";"4";"1";"0";"336.0223";"-0.54";"ACID";"C16H12ClNaO4S";"O=C([O-])c1ccc(/C=C/S(=O)(=O)Cc2ccc(Cl)cc2)cc1.[Na+]";"PRFBWBYKWZVQJF-RRABGKBLSA-M"
"CHEMBL318779";"";"";"Protein";"";"401.57";"7";"14";"1.50";"104.37";"5";"3";"0";"13";"N";"0.41";"12.43";"None";"1.17";"1.17";"0";"BOTH";"-1";"27";"7";"3";"0";"401.2348";"0.17";"NEUTRAL";"C19H35N3O4S";"CSCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O";"RJWLAIMXRBDUMH-ULQDDVLXSA-N"
"CHEMBL3694254";"";"";"Small molecule";"";"316.45";"5";"5";"3.88";"32.34";"4";"1";"0";"3";"N";"0.93";"None";"None";"3.45";"3.45";"2";"MOL";"-1";"21";"3";"1";"0";"316.0704";"-1.80";"NEUTRAL";"C16H16N2OS2";"O=C(NC1CC1)c1ccc(N2CCSc3ccccc32)s1";"RNLKPTOJCXLFDG-UHFFFAOYSA-N"
"CHEMBL4297623";"ELTANEXOR";"ELTANEXOR|KPT-8602";"Small molecule";"1.0";"428.30";"5";"9";"3.26";"99.58";"6";"1";"0";"4";"N";"0.51";"None";"1.08";"2.68";"2.68";"3";"MOL";"0";"30";"7";"2";"0";"428.0820";"-0.97";"NEUTRAL";"C17H10F6N6O";"NC(=O)/C(=C/n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)c1cncnc1";"JFBAVWVBLRIWHM-AWNIVKPZSA-N"
"CHEMBL1204948";"FUREGRELATE";"FUREGRELATE";"Small molecule";"-1.0";"253.26";"3";"5";"3.12";"63.33";"3";"1";"0";"3";"N";"0.78";"3.10";"5.41";"1.41";"-0.44";"3";"MOL";"0";"19";"4";"1";"0";"253.0739";"-0.33";"ACID";"C15H11NO3";"O=C(O)c1cc2cc(Cc3cccnc3)ccc2o1";"VHWFITPGPFLBGT-UHFFFAOYSA-N"
"CHEMBL182319";"TALTOBULIN";"HTI-286|TALTOBULIN";"Small molecule";"-1.0";"473.66";"16";"45";"3.60";"98.74";"4";"3";"0";"10";"N";"0.45";"4.21";"8.41";"2.01";"1.98";"1";"MOL";"0";"34";"7";"3";"0";"473.3254";"1.50";"ACID";"C27H43N3O4";"CN[C@H](C(=O)N[C@H](C(=O)N(C)[C@H](/C=C(\C)C(=O)O)C(C)C)C(C)(C)C)C(C)(C)c1ccccc1";"CNTMOLDWXSVYKD-PSRNMDMQSA-N"
"CHEMBL2107578";"SIBOPIRDINE";"";"Small molecule";"-1.0";"350.43";"";"";"4.02";"51.56";"4";"0";"0";"4";"N";"0.56";"None";"5.77";"3.38";"3.37";"4";"MOL";"0";"27";"4";"0";"0";"350.1531";"-0.13";"NEUTRAL";"C23H18N4";"c1cnc2c(c1)C(Cc1ccncc1)(Cc1ccncc1)c1cccnc1-2";"FJYRSJDIZKTXKB-UHFFFAOYSA-N"
"CHEMBL1201391";"TENIVASTATIN";"SIMVASTATIN ACID|SIMVASTATIN CARBOXYLIC ACID|SIMVASTATIN HYDROXY ACID|TENIVASTATIN";"Small molecule";"-1.0";"436.59";"8";"74";"4.11";"104.06";"5";"3";"0";"10";"N";"0.45";"4.21";"None";"3.79";"0.77";"0";"MOL";"0";"31";"6";"3";"0";"436.2825";"1.96";"ACID";"C25H40O6";"CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21";"XWLXKKNPFMNSFA-HGQWONQESA-N"
"CHEMBL25892";"FRESELESTAT";"FRESELESTAT|ONO-6818";"Small molecule";"-1.0";"452.52";"7";"46";"2.20";"146.00";"9";"2";"0";"7";"N";"0.52";"12.08";"0.87";"1.55";"1.55";"3";"MOL";"0";"33";"10";"3";"0";"452.2172";"-1.05";"NEUTRAL";"C23H28N6O4";"CC(C)C(NC(=O)Cn1c(-c2ccccc2)ncc(N)c1=O)C(=O)c1nnc(C(C)(C)C)o1";"YSIHYROEMJSOAS-UHFFFAOYSA-N"
"CHEMBL417975";"SEZOLAMIDE";"MK-417|SEZOLAMIDE";"Small molecule";"-1.0";"338.48";"5";"31";"0.86";"106.33";"6";"2";"0";"4";"N";"0.85";"8.19";"7.13";"0.17";"0.17";"1";"MOL";"0";"20";"6";"3";"0";"338.0429";"-1.02";"NEUTRAL";"C11H18N2O4S3";"CC(C)CN[C@H]1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21";"JFLUCCKXAYBETQ-VIFPVBQESA-N"
"CHEMBL481122";"MOCETINOSTAT DIHYDROBROMIDE";"MOCETINOSTAT DIHBR|MOCETINOSTAT DIHYDROBROMIDE";"Small molecule";"-1.0";"558.28";"1";"3";"3.99";"105.82";"6";"3";"0";"6";"N";"0.43";"None";"4.37";"3.00";"3.00";"4";"MOL";"0";"30";"7";"4";"0";"396.1699";"-1.45";"NEUTRAL";"C23H22Br2N6O";"Br.Br.Nc1ccccc1NC(=O)c1ccc(CNc2nccc(-c3cccnc3)n2)cc1";"ACPWZKZFDFBALX-UHFFFAOYSA-N"
"CHEMBL1908332";"TUROSTERIDE";"TUROSTERIDE";"Small molecule";"-1.0";"459.68";"1";"1";"4.82";"69.72";"3";"1";"0";"3";"N";"0.66";"None";"None";"3.67";"3.67";"0";"MOL";"0";"33";"6";"1";"0";"459.3461";"0.73";"NEUTRAL";"C27H45N3O3";"CC(C)NC(=O)N(C(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4N(C)C(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C";"WMPQMBUXZHMEFZ-YJPJVVPASA-N"
"CHEMBL138029";"UTIBAPRIL";"UTIBAPRIL|Utibapril";"Small molecule";"-1.0";"449.57";"3";"5";"2.87";"108.30";"7";"2";"0";"9";"N";"0.56";"3.42";"4.78";"2.79";"0.86";"1";"MOL";"0";"31";"8";"2";"0";"449.1984";"-0.33";"ACID";"C22H31N3O5S";"CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1N=C(C(C)(C)C)S[C@H]1C(=O)O";"FTYVYAGWBXTWTN-ZVZYQTTQSA-N"
"CHEMBL2107332";"DIAPLASININ";"DIAPLASININ|PAI-749";"Small molecule";"-1.0";"501.63";"";"";"7.33";"68.62";"5";"1";"2";"10";"N";"0.20";"3.84";"None";"7.76";"6.16";"6";"MOL";"0";"38";"6";"1";"2";"501.2529";"-0.86";"ACID";"C32H31N5O";"CCCCCc1c(-c2ccc3cc(OCc4nnn[nH]4)ccc3c2)n(Cc2ccccc2)c2ccccc12";"BDPXZFKVHDEPIQ-UHFFFAOYSA-N"
